секция,типы преступлений,индикатор,общий индикатор,название объекта,object_level,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Южный федеральный округ,федеральный округ,193702.0,186107.0,177182.0,182196.0,201919.0,218875.0,213700.0,208898.0,219457.0,222794.0,222731.0,217597.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Ямало-Ненецкий автономный округ,регион,9395.0,9121.0,9150.0,9008.0,9608.0,8000.0,8259.0,7705.0,7532.0,7630.0,6961.0,6657.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Ярославская область,регион,18483.0,17277.0,15390.0,15512.0,21759.0,18401.0,17873.0,16710.0,17709.0,16088.0,16066.0,18368.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Москва,регион,173628.0,180240.0,174990.0,182873.0,195239.0,173898.0,140134.0,140542.0,142081.0,146559.0,143564.0,138180.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Санкт-Петербург,регион,59318.0,56439.0,55110.0,56463.0,56480.0,52351.0,52138.0,51420.0,48627.0,61309.0,62755.0,62971.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Севастополь,регион,0.0,0.0,0.0,5703.0,8276.0,5703.0,4859.0,4083.0,4238.0,6104.0,6136.0,6269.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Алтайский край,регион,25267.0,23958.0,24823.0,24763.0,26665.0,26039.0,23465.0,22786.0,21582.0,19711.0,19235.0,18417.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Амурская область,регион,9637.0,9653.0,9289.0,9240.0,8917.0,8995.0,9141.0,9078.0,7933.0,7549.0,7742.0,7376.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Архангельская область,регион,9641.0,10130.0,10118.0,10077.0,10614.0,9917.0,9852.0,9633.0,9007.0,8501.0,7655.0,7241.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Астраханская область,регион,12399.0,11562.0,11009.0,9968.0,10340.0,9228.0,8180.0,8372.0,8244.0,7804.0,7856.0,7307.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Белгородская область,регион,7549.0,6854.0,7021.0,6716.0,7485.0,6686.0,6198.0,6438.0,6456.0,6431.0,6076.0,6044.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Брянская область,регион,10031.0,9304.0,9372.0,8881.0,9534.0,8284.0,7600.0,7266.0,7048.0,6899.0,7057.0,7050.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Владимирская область,регион,10062.0,9862.0,10131.0,9643.0,10361.0,9523.0,9050.0,8338.0,7120.0,7089.0,7031.0,6860.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Волгоградская область,регион,20093.0,18955.0,18438.0,17447.0,19319.0,17427.0,16072.0,15455.0,15329.0,15333.0,15100.0,14251.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Вологодская область,регион,10493.0,10955.0,11010.0,11311.0,12052.0,12241.0,10604.0,9607.0,9036.0,8136.0,7652.0,6946.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Воронежская область,регион,12617.0,11610.0,11671.0,11639.0,12701.0,12564.0,13049.0,12491.0,11427.0,11123.0,11925.0,11461.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Дальневосточный федеральный округ,федеральный округ,59268.0,58771.0,61445.0,61795.0,63619.0,60674.0,58284.0,80304.0,75188.0,71617.0,71940.0,67401.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Еврейская автономная область,регион,1755.0,1760.0,1834.0,1877.0,1899.0,1837.0,1877.0,1680.0,1369.0,1536.0,1699.0,1678.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Забайкальский край,регион,13692.0,13489.0,15017.0,15331.0,15602.0,14485.0,13894.0,13021.0,12847.0,11828.0,11283.0,11121.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Ивановская область,регион,7500.0,7087.0,7082.0,7050.0,6998.0,5984.0,5675.0,5617.0,5292.0,5289.0,4841.0,5347.0
Зарегистрированные преступления,"Выявлено лиц, совершивших преступления",Q112000002,человек,Иркутская область,регион,23526.0,22682.0,24031.0,24056.0,24854.0,23562.0,23453.0,21952.0,20447.0,19304.0,18833.0,18742.0
